project_name,project_desc,offer_desc
joki inside,12381823710254712095871290581290481902578190238901258719024809185091786519060192580916257801928561092568102396810984091275690128409136781902481902576812094851092658109257901258910258190284901284912481902489012489102548091257908237509123818237102547120958712905812904819025781902389012587190248091850917865190601925809162578019285610925681023968109840912756901284091367819024819025768120948510926581092579012589102581902849012849124819024890124891025480912579082375091238182371025471209587129058129048190257819023890125871902480918509178651906019258091625780192856109256810239681098409127569012840913678190248190257681209485109265810925790125891025819028490128491248190248901248910254809125790823750912381823710254712095871290581290481902578190238901258719024809185091786519060192580916257801928561092568102396810984091275690128409136781902481902576812094851092658109257901258910258190284901284912481902489012489102548091257908237509123818237102547120958712905812904819025781902389012587190248091850917865190601925809162578019285610925681023968109840912756901284091367819024819025768120948510926581092579012589102581902849012849124819024890124891025480912579082375091238182371025471209587129058129048190257819023890125871902480918509178651906019258091625780192856109256810239681098409127569012840913678190248190257681209485109265810925790125891025819028490128491248190248901248910254809125790823750912381823710254712095871290581290481902578190238901258719024809185091786519060192580916257801928561092568102396810984091275690128409136781902481902576812094851092658109257901258910258190284901284912481902489012489102548091257908237509123818237102547120958712905812904819025781902389012587190248091850917865190601925809162578019285610925681023968109840912756901284091367819024819025768120948510926581092579012589102581902849012849124819024890124891025480912579082375091238182371025471209587129058129048190257819023890125871902480918509178651906019258091625780192856109256810239681098409127569012840913678190248190257681209485109265810925790125891025819028490128491248190248901248910254809125790823750912381823710254712095871290581290481902578190238901258719024809185091786519060192580916257801928561092568102396810984091275690128409136781902481902576812094851092658109257901258910258190284901284912481902489012489102548091257908237509123818237102547120958712905812904819025781902389012587190248091850917865190601925809162578019285610925681023968109840912756901284091367819024819025768120948510926581092579012589102581902849012849124819024890124891025480912579082375091238182371025471209587129058129048190257819023890125871902480918509178651906019258091625780192856109256810239681098409127569012840913678190248190257681209485109265810925790125891025819028490128491248190248901248910254809125790823750912381823710254712095871290581290481902578190238901258719024809185091786519060192580916257801928561092568102396810984091275690128409136781902481902576812094851092658109257901258910258190284901284912481902489012489102548091257908237509/1,Anthony Cannon
cari explain,Time killer,Mindy Stanley
cari herself,,Sophia Grant
cari wife,,Paul Rivas
cari notice,,Donna Garrison
tutor from,,Amber Leonard
tutor we,It's about time.,Brian Schultz
tutor certainly,Really enjoyed what I have played so far.Turn off Volume Rendering Quality for an much better FPS ),William Duran
cari test,BEST GAME EVER I LOVE IT you guys should play it,Samantha Deleon
joki within,,Stacey Butler
joki ball,,Robin Brown
joki well,,Tracie Bennett
cari game,,Jessica Smith
cari position,Loads of fun. Even better with friends!,Stephen Hill
tutor their,,Deborah Sanchez
cari fight,Great games,Lance Moore
tutor receive,,Tammy Spencer
tutor nature,,Jeremy Flynn
tutor my,,John Frey MD
tutor explain,used to be one of the greatest online experiences I ever had turned into a hackfest with absolute brainless grind to get anything past vanilla content.story mode/offline play still a masterpiece thoughedit since take two and rockstar decided to ban players and prohibit ANY MOD in the OFFLINE play this game turned into utter,Michael Cox
tutor hotel,This game is getting worst with each update parachute is absolutely still filled with bugs overall its still not recommanding,Hannah Burke
joki cultural,pls add some kind of party mechanism that allows your friends to see that its actually you,Dustin Williams
joki development,Gets boring really fast,Andrea Hernandez
cari agree,,Ian Horne
cari church,,James Lawson
joki together,Rocket League ist ein spiel was es verdinnt hat in denn steam charts auf Platz 1 zu sein,Stefanie White
tutor response,,Kenneth Miller
cari view,,Austin Washington
tutor news,everyone is still better than me!,Doris Graham
tutor movement,The new updated version of rust is looking really cool the only downfall is it is 100% un playable. The fps lag is ridicuous.,Christine Carroll
cari despite,great games even better with friends. but be weary of the moders though some of them are nice.,Alyssa Clark
tutor early,It's a real rumpus.,Alexandra Rose
cari though,When it's done. It'll be greait.,Robin Fox
cari speak,Awesome to play with a squad of friends. Mouse controls are not as solid and smooth as say the CoD and Battlefield series. Gameplay is great. Graphics are not the best but it looks decent. Replayability is great considering this is a competitive game but the actual content is actually few and far between.Recently can't play it without using VPN. I hear a lot of people on same ISP (Sky Cable) having the same issue.Uninstalled it. Currently playing BFV which is a lot more fun IMO.,Karen Lewis
tutor factor,,Richard Frederick
joki practice,"It aint optimized for my system... ""What is the current state of the Early Access version?'The game is stable'"" Well... I gave it some time and I gotta say! It runs like a charm now! Solid 50 fps (On low settings XD) Now being able to properly play PUBG I can say its safe to say that this has a special ""feel"" to it. It's almost like a horror game that you pour hours into and when you end up dying in the end of it all you litterally scream in terror. I love this game. I take back what I said.Dear Blue or whatever your name is Just dont't up the game anymore... The optimization works NOW... _",Joshua Jordan
tutor yeah,,Heidi Rice
cari find,,John Rogers
cari me,My friends played this for nearly a year before I decided to try it which I shouldve done much earlier. It's a very skillbased game where you can easily sht on others or get sht on. Lot of smurfing involved of course as in other games but this is extremely satisfying fast and chill to play. I can basically play this all day almost. Think I already have like 1200 hours. Great game with an insane value for most. If you tend to suck at games this is maybe not for you.,Michael Spencer
tutor toward,,Jessica Lopez
cari entire,,Brian Rivera
joki green,,Mrs. Kathryn Ramirez
joki series,,Mariah Hobbs
cari red,,Trevor Stanley
joki tree,Good game. Simplicity is it's strength. I cannot support any game which one pays full price in beta and then they start to roll out microtransactions. It's very disingenuous of a publisher to say it's a one time thing to pay for a competition and they need the money when a small team has made over 100M gross. Say no to microtransactions from the start otherwise every aspect of the game will be monetised. We start with cosmetic skins for a one time event in summer 2017 summer 2018 we'll have paid drops which only contain top tier weapons and specials.Say no to monetisation and microtransactions from the start. Do not support this game.,Samantha Gordon
joki only,game apaan nih? tapi kok enak ya?,Christopher Smith
joki a,Great Game,Melissa Patel
cari hour,,Carla Sandoval MD
joki play,,Rhonda Williams
tutor ground,Welcome to Po i !,Joy Reynolds
cari development,,Mary Wood
joki nothing,,Ernest Gibbs
cari story,,Jonathan Davis
tutor either,Game is great. Mods make it better. F off you have enough moneys,Thomas Martinez
cari medical,,Sean Jackson
cari every,,Javier Valdez
tutor child,,Scott Middleton
joki as,More u play more u enjoy. Many characters special unique perks great sountrack coop enjoyable gameplay,Rebecca Bell
joki near,There s nothing new I can say that hasn t been said about this amazing installment in the Resident Evil series. I am a huge fan of the original RE2 and this game exceeded my expectations. The environment alone was enough to creep me out. The zombie sounds and models are terrifying and damn Mr. X is here only to give heart attacks. All in all I give this game a 10/10 and I can t wait to see if Capcom can do RE3 and Code Veronica X the same amount of Justice this remake has made for a classic and timeless game. Heck I wouldn t mind a RE1 and RE0 remake now made similar to 2!,Robert Thompson
cari become,,Virginia Smith
tutor buy,,Lindsey Boyd
joki senior,,Peter Rodriguez
tutor school,It's fun but money is harder to get nowadays,Joshua Brown
joki high,,Alan Gonzales
joki more,,Mitchell Martinez
tutor resource,,Mrs. Carolyn Armstrong DDS
cari near,,Heather Black
joki also,Product received for free. Favorite this game,Caitlin Erickson
cari discuss,"Monster Hunter World is the latest iteration in the Monster Hunter series. I've played since Monster Hunter 3 Ultimate for the 3ds and have loved it since. If you enjoy killing monsters with lots of different weapons and weapon types try it out.+ Pros Just like any other Monster Hunter game before it. It has a wide variety of monsters to kill Weapons got an upgrade. Each weapon type now has something new with it (insect glaive can dash in the air dual blades has archdemon mode now etc.) Graphics got a BIG upgrade. No more PS2 looking graphics that's for sure. Never minded the graphics before but seeing this it brings a tear to my eye. Story got a buff. Like with Monster Hunter 4 Ultimate they added a tiny bit more to the story. Still the same general ""Elder Dragon X does stuff and we gotta stop it but there's more"" but it has more of a... depth? Length? One of those.+ Cons Initially came out with connection issues. Annoying to play with friends then get disconnected mid quest. It's since been fixed. There was a chance that killing the final main mission monster Xeno'Jiiva would corrput your save file during the credits. Make sure to make a backup beforehand! Teostra has some frame rate drops with his blast. Hopefully that gets fixed soon. Decoration RNG can be very unforgiving at times. When you just want one antipara and you get 8 antidote I die a little inside.All in all if you've played Monster Hunter before you will enjoy this game a lot. If you haven't give it a shot! If you like killing large monsters and lots of customization this game will suck you into a warm blanket of grinding with frustration that monster X just killed you because you FORGOT TO EAT AT THE CANTEEN FOR THE BUFFS!!!",Jerry Atkinson
cari national,The game is fantastic BUT if you aren't sure your computer will run it don't risk. I could barely get 12 FPS on lowest settings when I can run CS GO with 100 FPS just fine.,Jade Jones
cari explain,,Michael Scott
cari interview,,Michele Evans
cari black,,Melanie Duncan
joki meeting,,Susan Brooks
cari good,Very awesome and addictive. It is one of the best battle royal games i have played and i know i will be spending lots of hours into this game. ) I recommend this to all people who love FPS games. Peace ),Brent Brandt
cari thing,Do you like soccer? What about cars? What about rockets? If you answered yes to two of these things then guess what... FUN is abound. Rocket League combines the competitive nature of soccer the speed of rockets and cars into a simply elegant and yet wonderful game. The mechanics are wonderous the community is super chill and fun to play with and the gameplay can certain keep you entertained for hours upon hours. Simply said for those who don't get it.... BUY THIS GAME NOW! You will never regret it. And if you do... what the hell if wrong with you.10/10 Would shutdown enemy team again as dat goalie,Jessica Morgan
cari realize,This game is one of the most bugged games ever to come out i think BLUUHOLE SHOULD RENAME ITS STUDIO BLUEBALLS AND SHOULD GIVE EVERYONE REFUNDS ITS T AND THEY DONT FIX THE BUGS INSTEAD THEY ADD A LAGGIER VERSION OF THE GAME ONTO THERE TEST SERVER IT SO GAY DONT BUY AND IF U DID BUY IT ASK FOR REFUND GIVE A NEGATIVE REVIEW AND PLAY FORTNITE BLUEBALLS!!!!,Nicolas Morris Jr.
joki alone,,Christina Ward
cari which,,Cassandra Santana
cari rich,Best Gta game so far before Gta 6 is out btw..,Thomas Burke
joki body,,Angelica Green
tutor often,,Mrs. Dorothy Vasquez
cari can,,Joshua Allen
cari poor,Big weapons and bigger monsters. What is not to love?,Shelby Martin
joki institution,Rip modding,Brenda Scott DVM
joki recently,Product received for free. like a hooker that seems appealing at first glance but when you really take a nice hard look you realize she's a bug infested sloppy mess that you wouldn't even use if she payed you100% e sports ready bunghole really outdid themselves with this one,Julia Becker
cari approach,,Travis Clark
tutor religious,,Dr. Oscar White
joki attention,,Michael Brown
joki according,One of the best battle royal games,Justin Garcia
tutor whether,a real mans league.,Melissa Hampton
cari apply,much fun P,Brandon Lee
cari drive,,Kristen Johns
tutor number,,Randy Dixon
tutor then,,Aaron Ray
joki information,,Tiffany Diaz
tutor significant,,Matthew Torres
tutor about,,Christopher Gonzalez
tutor matter,Amazing game Great fun. Little complicated to master. Overall a MUST BUY,Emily Harris
cari provide,,Bryan Miller
tutor human,haha great game check the steam charts,Jared Trevino
tutor happy,,Jeremy Harrison
tutor most,,David Cook
cari name,,Tiffany Nelson
joki recent,didnt play this game for a while came back and now it wont even start up a process crashes every time. great.,Jesus Sloan Jr.
joki think,,Robin Gibson
joki take,Last Patch Killed the game. No region lock so now you will send to any region like china o eu.i usually have 100 200 ms now i have 400 3000 ms and is full of Chung Hackers.dont waste ur life in this game with developers find a Gf or something.,Nicholas Cohen
cari always,,Mary Davis
joki card,,Joseph Spencer
joki raise,,Kayla Tapia
joki open,,Allen Gonzalez
joki term,This game is obnoxious. Optimization of this game is just making me to puke. Gameplay is terrible after 30mins of looting yourself you will get killed from somewhere by camping mug. Just dont buy this game and dont support this disgusting company,Stacy Hale
joki available,,Mr. Robert Garcia
cari feeling,Real life simulator at its best,Shane Alvarado
cari police,,Michael Schroeder
cari want,"Got shot because I accidentally said ""A n u s"" in the voice chat on a Christian server. 10/10 would be naked again.",Brittany Larsen
tutor bar,A good game absolutely ruined by cheaters. Just play another battle royale until they fix this game.,Kelly Valencia
cari bit,,Jonathan Roberts
cari stop,,Nancy Avila
tutor administration,,Brittany Howe
cari card,,Martha Garcia
joki future,,Amanda Spencer
tutor degree,Best walking simulator I've ever played. Unparalleled leg powering features. Sometime out of nowhere I get shot by somebody maybe that's a bug the devs could work on. Maybe the devs are going for a detroit vibe? Otherwise fantastic walking sim. One of the best out there if you can overlook the bugs.10/10 would get shot walking through a beautiful meadow again,Billy Jones
joki picture,,Elizabeth Levy
tutor plant,Best,Michael Hamilton
tutor within,Its complicated but good,Lisa Goodwin
joki yard,Join the almighty Dwight empire today.,Ricky Adams Jr.
joki move,,Ashley Navarro
cari key,,Michelle Adams
joki computer,,James Jimenez
tutor visit,,Darren Short
tutor water,,Tina Brewer
tutor doctor,This is honestly one of the best games I've played. It is super fun. I reccomend this to everybody despite there being a ton of glitches and things its actually really funny whenever a glitch happens and no they dont happen every single game or something but even if you are doing good and you die by a hilarious glitch It to me is more worth it. I'm not sure why this game is getting a lot of heat since it has amazing graphics and game play mechanics that I personally love but I definetly think it was worth the money.,Elizabeth Lewis
joki always,,Adam Douglas
cari line,I absolutely recommend this game. But buyer beware at this point in time the anti cheat system is broke and you may revieve a ban for no reason. I'm not playing this again until I hear word its fixed. Thx,Paul Johnson
tutor establish,A little overhyped still fun though...,Terri Murphy DVM
cari item,This game has come a long way from when i first played it. A lot of features have been added and taken away but it is now slowly starting to take shape for the better.I hope in future updates more AI will be available and that AI will actually do something.,Anita Rodriguez
tutor cultural,,Robert Romero
tutor threat,,Mark Mclean
cari sure,Many DLCs to play with,Megan Carter
tutor successful,Great graphics and great gameplay. This game has a feeling like other games don't have. It has a story in singeplayer and mulitplayer that you can't get in other games. The singeplayer feel isn't boring and you will constantly want to keep on playing it while the multiplayer side is amazing and you will have lots of fun with the new updates that Rockstar is uploading constantly.,Amanda Olson MD
cari boy,,Catherine Cole
joki enter,Product received for free. It never connects to a game.Reservation Timed out ERROR 59 Error 59/10,Robert Lewis
cari budget,,Wyatt Bentley
cari will,I love this game. Am I very good at in? No. Do i play against ppl who kick my all the time? Yes... But i love this game and cant reccomend it enough and for all the ppl who gave it negative reviews... Grow up... Get over the fact that you havent played as much as some ppl and dont bash it just because you suck... Are there cheaters? Yes. Is it better than fortnight? Different games. Cant really compare. But I think so.,Joshua Lambert
cari research,,Charles Gomez
tutor key,,Henry Roberts
joki pressure,"Gone from being something fun to an utter cash grab. Brand new cars with a 1 mph advantage over the previous one costs $30 to buy if bought with real cash. Rehashing and adding new game modes apprently the same game mode in 8 different locations counts as ""tons of new missions"". All the player made missions are either rubbish or just wall ride races around the same stretches of the city. The original missions and heists are fantastic but none more have been added since Online launched. The hacking is horrendous a few nice guys occasionally drop cash but most just grief and can actually crash your system.The game has horrendous network connectivity issues and issues with it not being hosted on servers clearly they didn't learn from GTA IV online.Overall a shame the charm humour and sociopolitical commentary of GTA games shines through but clearly the Rockstar bean counters want to wrangle cash from what could be a great game.",Susan Ellison
tutor later,,Calvin Andrade
tutor book,,Tiffany Walton
tutor family,,Joy Alvarez
cari want,,Julie Aguilar
tutor what,,John Lewis
cari any,The best game i have ever played.One of the most engaging communities i have ever been a part of. Unlimited Gameplay for just 20$the best.just outstanding. Graphics super good.Optimization GoodFPS easily getting 100 120+ frames. (check my profile bio for my specs)Enjoyment TOO MUCH FOR ME TO HANDLE!,Thomas Bishop
tutor expert,fix the tickrate is all i ask,Garrett Andrews
cari main,needs optimization,Kelly Stephens
cari full,,Karen Gibbs
cari water,,Amy Nicholson
cari fill,,Michael Owen
cari ground,This game in its infancy is truly beautiful. It runs faultlessly on my system (ran better once transferred to SSD) which was a surprise.This is early access but the content already in it is enjoyably good. Look forward to a more explanative interface on what things do but the trial and error to find out is fun.Just waiting to try multiplayer now.I7 3770k32GB RAMGTX 1070 8GBWindows 10,Ronald Hopkins
cari week,,Jeffrey Johnson
tutor both,,Danny Reynolds
cari usually,always crash wtf mantoo many bughackerbut the price still samepubg make your pc crash and problemZzz,Taylor Garcia
joki role,,Ashley Rodriguez
joki alone,,Angela Carter
tutor magazine,,Jamie Ray
joki edge,,Jason Riddle
cari blue,Addicting to play. Only soccer I care about.,Mario Morse
tutor shake,,Jason Rodriguez
cari brother,hello can anyone buy me gta 5 please biiiiich,Steven Smith
cari toward,,William Frazier
joki wrong,f*ck hacker f*ck blue hole,Curtis Kelly
cari term,,Michelle Armstrong
tutor major,,Brittany Smith
joki shake,,Mrs. Sarah Cameron
cari adult,In these almost 50 hours I've spent in this game I have yet to face any server/queue/matchmaking issues and perhaps like 95% of the time was spent actually playing the game so that's definitely a positive start. Regarding actual gameplay there are a lot of bugs I can't deny that however they're minor and have no impact on the ability to play the game and enjoy the core idea of this game. The real gameplay excluding the bugs is what makes this game stand out in BR scene it has a lot of depth (plenty of things you can do with different tactics smokes hearing other people staying in the shadows etc.) in my opinion close to a perfect combat system (can't even compare it with h1z1) and these are the things that I consider high end priorities for such game.,Vanessa Austin
joki must,,Benjamin Johnson
joki business,i love it i found a military grade assault rifle in a box that fell from the sky it felt like i was in russia,Amanda Case
cari music,,Kevin Thompson
joki society,,Christopher Burns
cari read,,Sarah Fisher
joki if,If you are into some really strategical business planning or just blowing some time with your friends doing races collecting cool cars having a business of your own. All that in a massive multiplayer world. This game is for you. Awesome!,Yesenia Bender
tutor like,Great game for practicing home invasions.,Kristin Brown
tutor effort,Really good game. Alebit it very lacking in content. Inconsistent framerates also plague what is otherwise a really fun game. Expect to have a blast until the lack of content becomes prevalent.,Rickey Murphy
cari relate,f you T2,Kayla Obrien
joki listen,,Carmen Phillips
tutor under,,Jerry Hunter
tutor prove,The Best Game....Lit,Alyssa Gay
joki yes,ok,Jessica Dixon
joki wrong,,Johnny Rivas
cari smile,,Lisa Valdez
tutor gas,Take Two really disappointed in your decisions. Not cool.,Nathan Patrick
cari on,No more mods? why else do you think all of us chumps bought a copy for PC?,Kayla Anderson
joki move,,James Lang
cari gun,,Mr. Andrew Brady MD
tutor financial,,Timothy Savage
joki community,,Jose Carter
cari turn,,Matthew Dunn
joki arrive,This game is beautiful. It's in Alpha and has so much potential. From the time that I have put into this game I have died several times though I still keep finding myself playing and fighting through the tough times. Love this game and the developers are genuises! Good Job FacePunch on yet another great game!,Gary Spencer
joki soldier,,Mary Fisher
tutor focus,awesome,Jose Nunez
joki benefit,,Joseph Ford
joki paper,,Michelle Benson
cari dog,,Stephanie Keller
tutor south,,Katherine Faulkner
cari each,,Alvin Murphy
cari forget,Stop screwing up your games man let the community do what it does best make things interesting so that they want to continue playing the stuff you create!,Ashley Brady
cari race,It has everything you'd think this game should have. The custom matches don't work yet but this game is still in beta. When it becomes available. I'd like a setting to allow the map's alphabetical boxes that grid the map as you look at it to become randomly filled with the blue circle thing instead of the blue circle thing restricting you to a defined region that you have to run your *** off to get to. It would make it more like Battle Royale the movie. Since that's what they do in the movie. They marked the maps to regions that were 'locked' and anyone inside of it would die off if they remained in it. This would give the online battles more longevity for those who like to have things feel a bit more campy. Plus it would make it easier for beginner players to survive longer.Also maybe opening up the workshop would be nice to have some custom weapons and armor and clothing etc. Although the grid blue box thing would be the only thing I'd want more out of anything else.I am not sure what else I thought might be nice for this game. Although that's all. I will return and fix this review when I've thought of more stuff. Otherwise It's a great game and I can see why people play it so often. Worth checking out for an hour. Incase your unsure.P.S It would be nice to have a feature where we can see who we've played with in the past few games. Like Xbox does. So we can friend ppl when we've forgotten to afterwards.,Bryan Huber
joki thought,here is a summary of your average game when you dont fall through the map&gt spawn in&gt drop somewhere&gt get good stuff&gt get car&gt get kar'drinse and repeat for about 3 hours and that is the pubg experiencenever mind spawning in and falling through the map when we got skins,Patrick Orozco
cari push,"After spending almost all of my time in Single Player messing around with mods (which after story is the only interesting thing to do) Take Two after selling 80 million+ copies says they're ""undermonetizing"" and then destroys all mods. Was a fun game and the story was enjoyable online can be cancer",Richard Brown
cari attack,,William Rodriguez
tutor describe,Rocket league is really good but the online community needs to be controled more.,Jacob Wade
cari sit,,Julia Martin
cari poor,Mate Shes ed,Tina Li
joki reveal,Its a great game but half the time its not even ing responding,William Clayton
joki offer,,Jessica Brown
joki himself,Must admit that although the game has countless issues the random nature of the game partnered with the skill required make PUBG a very enjoyable experience. Almost 300 hours deep now and ive had plenty of laughs from the game light hearted play and tryhard rounds are both viable options,Candice Choi
cari politics,,Elizabeth Bailey
tutor nothing,,Daniel Clark
tutor responsibility,,Natalie Kaiser
cari work,,Nina Jenkins
tutor man,,Kyle Maldonado
tutor serve,whenever the 556 come back I will come bcak this stupid game,Melinda Scott
joki question,,Jennifer Rodriguez
joki business,only one. Please enable the mod for online,Tracy Chavez
joki these,,Angelica Torres
cari particularly,Pretty fun game to play with your friends playing on your own isnt nearly as fun unless you are trying to get really good.,Sharon Combs
tutor us,,Holly Collins
joki phone,,Paul Williams
joki health,,Jeremiah Glenn
tutor education,,Jesse Christian
joki threat,This game is highly addictive. But I've rage quit at least 40 times in the past week from consistantly getting raided and killed. It's a very good game but if I continue playing I'm going to punch a hole through my computer screen. Would NOT recommend to the average player. I've played 93.6 hours in the past 2 weeks. That's a full time job and I wasted all that time. Big mistake getting this game.,Kimberly Richmond
joki poor,,Lisa Lowe
cari agree,,Kimberly Hood
joki leader,,Cheryl Bauer
joki especially,,Johnathan Hood
cari something,,Lauren King
cari with,,Mikayla Peterson
cari sign,,Linda Brooks
joki choose,great multiplayer with good graphics and pretty timepass game just go for it.,Thomas White
cari road,So i have played a little over 300 hours on this game not a heap but enough to have a decent opinion on the game. The problem with this game is the more you play the worse it gets. Not much point selecting a specific server when they're all full of chinese anyway. This game started off as a pretty well received game and even though it had lots of glitches in early access lots of them were fixed. However this game was rushed to a version 1.0 release and rushed to be released on console. The game is now full of hackers and laggy servers. The developers no longer care about actual gameplay and instead release 6 gig updates entirely based on cosmetics and tiny bug fixes. This game is currently a horribly optimized mess and i would avoid buying it.If your looking for a battle royale game i would suggest playing either Islands of nyne or Escape from Tarkov they are well balanced have dedicated spray patterns and can easily maintain a stable framerate they also constantly receive new content from the developer and bug fixes as well as not being plagued by hackers.Edit 1 Wow what do you know i'm still playing this heap of game i've played another 250 hours since i wrote this review and if i'm being completely honest the game has not improved. The physics engine in this game is so broken you can literally drive over a bump at 10 km/h and end up doing 4 backflips and blowing up. And the game run so badly still how has this not been fixed?I mean how do you even manage to lower the optimisation of the game with every update? Also who thought the event pass was a good idea??? Nice job B team.,John Gallagher
tutor customer,,Javier Wilson
